ISIN,Security Name,BSE,NSE,Alias name
INE144J01027,20 Microns Limited,533022,20MICRONS,
INE253B01015,21st Century Management Services Limited,526921,21STCENMGM,Twentyfirst Century Management Serv
INF579M01BP5,360 ONE Mutual Fund,544766,,
INE466L01038,360 ONE WAM LIMITED,542772,360ONE,
INE994E01018,3B Blackbio Dx Limited,532067,3BBLACKBIO,
INE0TE101010,3B FILMS LIMITED,544412,,
INE0R7D01018,3C IT Solutions and Telecoms (India) Limited,544190,,
INE748C01038,3i Infotech Limited,532628,3IINFOLTD,
INE470A01017,3M India Limited,523395,3MINDIA,
INE105C01023,3P Land Holdings Limited,516092,3PLAND,
INE618L01018,5Paisa Capital Limited,540776,5PAISA,
INE111B01023,63 moons technologies limited,526881,63MOONS,
INE413X01035,7NR Retail Limited,540615,,
INE454F01010,7SEAS ENTERTAINMENT LIMITED,540874,,
INE08PH01015,A B Cotspin India Limited,544522,ABCOTS,
INE00YB01025,A B Infrabuild Limited,544281,ABINFRA,
INE911Z01025,A-1 LIMITED,542012,,
INE663P01015,A.F. Enterprises Limited,538351,,
INE619I01012,A2Z Infra Engineering Limited,533292,A2ZINFRA,
INE0C5901022,AA Plus Tradelink Limited,543319,,
INE0D0U01013,AAA Technologies Limited,543671,AAATECH,
INE883F01010,Aadhar Housing Finance Limited,544176,AADHARHFC,
INE563D01013,Aadi Industries Ltd,530027,,
INE087Z01024,Aakash Exploration Services Limited,,AAKASH,
INE322R01022,Aanchal Ispat Limited,538812,,
INE512R01010,Aar Shyam India Investment Company Limited,542377,,
INE056J01015,AARCON FACILITIES LIMITED,532024,,
INE198H01019,Aarey Drugs & Pharmaceuticals Limited,524412,AAREYDRUGS,
INE750R01016,Aarnav Fashions Limited,539562,AARNAV,
INE721Z01010,Aaron Industries Limited,,AARON,
INE01C001026,Aartech Solonics Limited,542580,AARTECH,
INE767A01016,Aarti Drugs Limited,524348,AARTIDRUGS,
INE769A01020,Aarti Industries Limited,524208,AARTIIND,
INE0LRU01027,Aarti Pharmalabs Limited,543748,AARTIPHARM,
INE09EO01013,Aarti Surfactants Limited,543210,AARTISURF,
INE754X01016,Aarvi Encon Limited,,AARVI,
INE0EAX01014,Aashka Hospitals Limited,543346,,
INE819K01014,Aastamangalam Finance Limited,511764,,
INE216P01012,Aavas Financiers Limited,541988,AAVAS,
INE777X01017,AAYUSH ART AND BULLION LIMITED,540718,,
INE430R01023,AAYUSH WELLNESS LIMITED,539528,,
INE365O01028,Abans Enterprises Limited,512165,ABANSENT,
INE00ZE01026,Abans Financial Services Limited,543712,AFSL,
INE454E01013,ABATE AS INDUSTRIES LIMITED,531658,,
INE117A01022,ABB India Limited,500002,ABB,
INE358A01014,Abbott India Limited,500488,ABBOTINDIA,
INE125D01011,ABC India Ltd.,520123,,
INE516F01016,Abhinav Capital Services Limited,532057,,
INE211D01027,Abhinav Leasing & Finance Limited,538952,,
INE723C01015,Abhishek Finlease limited,538935,,
INE281P01016,Abhishek Infraventures Limited,539544,,
INE195I01013,Abirami Financial Services (India),511756,,
INE251C01025,ABM International Limited,,ABMINTLLTD,
INE850B01026,ABM Knowledgeware Limited,531161,ABMKNO,
INE0ZDY01011,Abram Food Limited,544422,,
INE15MX01014,ABRIL PAPER TECH LIMITED,544500,,
INE012A01025,ACC Limited,500410,ACC,
INE578B01015,ACCEDERE LIMITED,531533,,
INE258C01038,ACCEL LIMITED,517494,,
INE0POP01017,ACCELERATEBS INDIA LIMITED,543938,,
INE793A01012,Accelya Solutions India Limited,532268,ACCELYA,
INE132201018,ACCORD TRANSFORMER & SWITCHGEAR LIMITED,544710,,
INE1KVQ01019,Accretion Nutraveda Limited,544694,,
INE648Z01023,Accuracy Shipping Limited,544598,ACCURACY,
INE0S9X01011,Ace Alpha Tech Limited,544431,,
INE715F01014,ACE EDUTREND LIMITED,530093,,
INE543V01017,Ace Integrated Solutions Limited,,ACEINTEG,
INE023R01018,ACE MEN ENGG WORKS LIMITED,539661,,
INE849B01010,Ace Software Exports ltd.,531525,,
IN9849B01026,Ace Software Exports ltd.,890230,,
INE0K1401020,Achyut Healthcare Limited,543499,,
INE167B01025,ACI Infocom Ltd.,517356,,
INE326C01017,Acknit Industries Ltd,530043,,
INE636B01011,Acme Resources Limited,539391,,
INE622W01025,Acme Solar Holdings Limited,544283,ACMESOLAR,
INE950D01012,Acrow (India) Ltd.,513149,,
INE366C01021,ACS Technologies Limited,530745,ACSTECH,
INE731H01025,Action Construction Equipment Limited,532762,ACE,Action Construction Equipments Ltd.
INE380Z01015,Active Clothing Co  Limited,541144,,
INE00FF01025,Acutaas Chemicals Limited,543349,ACUTAAS,
INE556D01017,AD-Manum Finance Ltd,511359,,
INE931S01010,Adani Energy Solutions Limited,539254,ADANIENSOL,
INE423A01024,Adani Enterprises Limited,512599,ADANIENT,
INE364U01010,Adani Green Energy Limited,541450,ADANIGREEN,
INE742F01042,Adani Ports and Special Economic Zone Limited,532921,ADANIPORTS,
INE814H01029,Adani Power Limited,533096,ADANIPOWER,
INE399L01023,Adani Total Gas Limited,542066,ATGL,
INE627D01016,Adarsh Plant Project Ltd.,526711,,
INE833A01016,ADC India Communications Limited,523411,,
INE805Q01028,Adcon Capital Services Limited,539506,,
INE0W1601012,ADCOUNTY MEDIA INDIA LIMITED,544435,,
INE01B501018,Add-Shop E-Retail Limited,541865,,
INE757C01021,Addi Industries Ltd.,507852,,
INE0H8J01015,Adeshwar Meditex Limited,543309,,
INE982B01027,ADF Foods Limited,519183,ADFFOODS,
INE586D01014,ADHATA GLOBAL LIMITED,531286,,
INE578L01014,Adhbhut Infrastructure Ltd.,539189,,
INE067R01015,Adhiraj Distributors Limited,780018,,
INE207C01019,Adinath Textiles Ltd.,514113,,
INE0CWK01019,Adishakti Loha and Ispat Limited,543377,,
INE674K01013,Aditya Birla Capital Limited,540691,ABCAPITAL,
INE647O01011,Aditya Birla Fashion and Retail Limited,535755,ABFRL,
INE14LE01019,Aditya Birla Lifestyle Brands Limited,544403,ABLBL,
INE865C01022,Aditya Birla Money Limited,532974,BIRLAMONEY,
INE055A01016,Aditya Birla Real Estate Limited,500040,ABREL,
INE404A01024,Aditya Birla Sun Life AMC Limited,543374,ABSLAMC,
INF209KB10E8,Aditya Birla Sun Life Mutual Fund,540008,,
INF209KB16D7,Aditya Birla Sun Life Mutual Fund,542230,,
INF209KB17D5,Aditya Birla Sun Life Mutual Fund,542863,,
INF209KB11D8,Aditya Birla Sun Life Mutual Fund,543472,,
INF209KB10C2,Aditya Birla Sun Life Mutual Fund,543473,,
INF209KB19D1,Aditya Birla Sun Life Mutual Fund,543474,,
INF209KB15K4,Aditya Birla Sun Life Mutual Fund,543574,,
INF209KB14K7,Aditya Birla Sun Life Mutual Fund,543575,,
INF209KB19Z4,Aditya Birla Sun Life Mutual Fund,544218,,
INF209KC1662,Aditya Birla Sun Life Mutual Fund,544706,,
INF209KC1670,Aditya Birla Sun Life Mutual Fund,544719,,
INE427V01013,ADITYA CONSUMER MARKETING LIMITED,540146,,
INE819V01029,Aditya Infotech Limited,544466,CPPLUS,
INE570B01012,Aditya Ispat Ltd.,513513,,
INE122D01026,Aditya Spinners Ltd.,521141,,
INE679V01027,Aditya Vision Limited,540205,AVL,
INE276T01018,ADLINE CHEM LAB LIMITED,524604,,
INE0XLO01010,ADMACH SYSTEMS LIMITED,544669,,
INE045A01017,Ador Welding Limited,517041,ADOR,
INE737B01033,Adroit Infotech Limited,532172,ADROITINFO,
INE257C01014,ADTECH SYSTEMS LIMITED,544185,,
INE0ALI01010,Advait Energy Transitions Limited,543230,ADVAIT,
INE1B0W01010,Advance Agrolife Limited,544562,ADVANCE,
INE900E01015,Advance Lifestyles Ltd.,521048,,
INE436N01029,ADVANCE METERING TECHNOLOGY LIMITED,534612,,
INE875S01019,Advance Multitech Ltd.,526331,,
INE334N01018,Advance Petrochemicals Ltd.,506947,,
INE837H01020,Advanced Enzyme Technologies Limited,540025,ADVENZYMES,
INE199C01026,Advani Hotels & Resorts (India) Limited,523269,ADVANIHOTR,
INE28GN01010,Advent Hotels International Limited,544446,ADVENTHTL,
INE178T01024,Advik Capital Limited,539773,,
INE208C01025,Aegis Logistics Limited,500003,AEGISLOG,
INE0INX01018,Aegis Vopak Terminals Limited,544407,AEGISVOPAK,
INE0T3401029,AELEA COMMODITIES LIMITED,544213,,
INE994D01010,Aeonx Digital Technology Limited,524594,,
INE947N01017,Aequs Limited,544634,AEQUS,
INE065D01027,Aeroflex Enterprises Limited,511076,AEROENTER,
INE024001021,Aeroflex Industries Limited,543972,AEROFLEX,
INE035801013,Aeroflex Neu Limited,543743,AERONEU,
INE175N01023,Aerpace Industries Limited,534733,,
INE0BWX01014,Aether Industries Limited,543534,AETHER,
INE0OXY01013,Afcom Holdings Limited,544224,,
INE101I01011,Afcons Infrastructure Limited,544280,AFCONS,
INE00WC01027,Affle 3i Limited,542752,AFFLE,
INE692Z01013,Affordable Robotic & Automation Limited,541402,AFFORDABLE,
INE321D01016,AG VENTURES LIMITED,506579,,
INE510B01018,AGARWAL FORTUNE INDIA LIMITED,530765,,
INE204E01012,Agarwal Industrial Corporation Limited,531921,AGARIND,
INE415A01038,AGI Greenpac Limited,500187,AGI,
INE976R01033,Agi Infra Limited,539042,AGIIL,
INE112C01011,Agio Paper & Industries Limited,516020,,
INE449G01018,Agri-Tech (India) Limited,537292,AGRITECH,
INE679E01015,AGRIBIO SPIRITS LIMITED,539546,,
INE740V01019,Agro Phos India Limited,,AGROPHOS,
INE0NEV01011,AHASOLAR TECHNOLOGIES LIMITED,543941,,
INE00PV01013,Ahlada Engineers Limited,,AHLADA,
INE758C01029,Ahluwalia Contracts (India) Limited,532811,AHLUCONT,
INE868C01018,Ahmedabad Steelcraft Ltd.,522273,,
INE768E01024,AI CHAMPDANY INDUSTRIES LIMITED,532806,,
INE212H01026,AIA Engineering Limited,532683,AIAENG,
INE0QFT01015,AIK Pipes and Polymers Limited,544072,,
INE008B01013,Aimco Pesticides Ltd.,524288,,
INE805A01014,AION-TECH SOLUTIONS LIMITED,531439,GOLDTECH,
INE645W01026,Airan Limited,543811,AIRAN,
INE0XBS01012,AIRFLOA RAIL TECHNOLOGY LIMITED,544516,,
INE801L01010,Airo Lam limited,,AIROLAM,
INE031B01049,Ajanta Pharma Limited,532331,AJANTPHARM,
INE601B01023,Ajanta Soya Limited,519216,,
INE274Y01021,Ajax Engineering Limited,544356,AJAXENGG,
INE0XRR01010,AJC Jewel Manufacturers Limited,544425,,
INE759C01027,Ajcon Global Services Ltd.,511692,,
INE298G01035,Ajmera Realty & Infra India Limited,513349,AJMERA,
INE820Y01021,Ajooni Biotech Limited,,AJOONI,
INE863E01015,Ajwa Fun World & Resorts Ltd,526628,,
INE701G01012,AK Capital Services Limited,530499,AKCAPIT,A.K.Capital Services Ltd.
INE864E01021,Akar Auto Industries Limited,530621,,
INE737W01013,Akash Infra-Projects Limited,,AKASH,
INE00Y801016,Akg Exim Limited,,AKG,
INE642Z01026,AKI India Limited,542020,AKI,
INE916Y01027,Akme Fintrade (India) Limited,544200,AFIL,
INE523B01011,Aksh Optifibre Limited,532351,AKSHOPTFBR,
INE256Z01025,Akshar Spintex Limited,541303,AKSHAR,
INE542B01011,AksharChem India Limited,524598,AKSHARCHEM,
INE09XN01023,Akums Drugs and Pharmaceuticals Limited,544222,AKUMS,
INE030P01017,Alacrity Securities Limited,535916,,
INE273F01022,ALAN SCOTT ENTERPRISES LIMITED,539115,,
INE914E01040,Alankit Limited,531082,ALANKIT,
INE155C01010,Albert David Limited,524075,ALBERTDAVD,
INE426A01027,Alembic Limited,506235,ALEMBICLTD,
INE901L01018,Alembic Pharmaceuticals Limited,533573,APLLTD,
INE191N01012,Alexander Stamps And Coin Limited,511463,,
INE042C01010,Alfa Ica (India) Ltd,530973,,
INE209C01015,Alfa Transformers ltd.,517546,,
INE883B01027,Alfavision Overseas (India) Ltd.,531156,,
INE782D01027,Alfred Herbert (India) Ltd.,505216,,
INE598D01035,Algoquant Fintech Limited,505725,ALGOQUANT,
INE062D01024,Alicon Castalloy Limited,531147,ALICON,
INE03Q201024,Alivus Life Sciences Limited,543322,ALIVUS,
INE773I01017,Alkali Metals Limited,533029,ALKALI,
INE540L01014,Alkem Laboratories Limited,539523,ALKEM,
INE0KA601012,ALKOSIGN LIMITED,543453,,
INE150B01039,Alkyl Amines Chemicals Limited,506767,ALKYLAMINE,
INE0GV601021,All Time Plastics Limited,544479,ALLTIME,
INE418H01029,Allcargo Logistics Limited,532749,ALLCARGO,
INE0NN701020,Allcargo Terminals Limited,543954,ATL,
IN90NN701011,Allcargo Terminals Limited,890228,,
INE835G01018,Alldigi Tech Limited,532633,ALLDIGI,
INE123D01024,Alliance Integrated Metaliks Limited,534064,,
INE552Z01027,Allied Blenders and Distillers Limited,544203,ABDL,
INE102I01027,Allied Digital Services Limited,532875,ADSL,
INE326B01035,Almondz Global Securities Limited,531400,ALMONDZ,
INE07I701011,Alna Trading & Exports Ltd.,506120,,
INE270A01029,Alok Industries Limited,521070,ALOKINDS,
INE385I01010,Alpa Laboratories Limited,532878,ALPA,
INE137C01018,Alphageo (India) Limited,526397,ALPHAGEO,
INE0NZF01019,ALPHALOGIC INDUSTRIES LIMITED,543937,,
INE08E401029,Alphalogic Techsys Limited,542770,,
INE840D01015,Alpine Housing Development Corporat,526519,,
INE058F01019,Alufluoride  Ltd.,524634,,
INE121R01077,Amagi Media Labs Limited,544679,AMAGI,
INE841D01013,Amal Ltd,506597,,
INE492N01022,Amalgamated Electricity Co. Ltd.,501622,,
INE0G1V01016,AMANAYA VENTURES LIMITED,543804,,
INE084K01015,Amanta Healthcare Limited,544502,AMANTA,
INE885A01032,Amara Raja Energy & Mobility Limited,500008,ARE&M,
INE484D01012,Amarjothi Spinning Mills Ltd,521097,,
INE745P01010,Amarnath Securities Ltd.,538465,,
INE829P01020,Amba Enterprises Ltd.,539196,,
INE432A01017,Ambalal Sarabhai Enterprises Limited,500009,AMBALALSA,Ambalal Sarabhai Enterprise Ltd.
INE072V01017,Ambar Protein Industries Limited,519471,,
INE342U01016,AMBASSADOR INTRA HOLDINGS LIMITED,542524,,
INE371P01015,Amber Enterprises India Limited,540902,AMBER,
INE792B01012,Ambica Agarbathies & Aroma industries Limited,532335,AMBICAAGAR,Ambica Agarbathies & Aroma Ind. Ltd.
INE540G01014,Ambika Cotton Mills Limited,531978,AMBIKCO,
INE267C01013,Ambitious Plastomac Ltd.,526439,,
INE0N6V01016,AMBO AGRITEC LIMITED,543678,,
INE079A01024,Ambuja Cements Limited,500425,AMBUJACEM,
INE924B01011,Amco India Ltd.,530133,,
INE005I01014,AMD Industries Limited,532828,AMDIND,
INE14QA01016,AMEENJI RUBBER LIMITED,544555,,
INE673C01020,AMERISE BIOSCIENCES LIMITED,531681,,
INE991A01020,Amforge Industries Ltd.,513117,,
INE0P9J01013,Amic Forging Limited,544037,,
INE572Z01017,AMIN TANNERY LIMITED,541771,,
INE275D01022,Amines & Plasticizers Limited,506248,AMNPLST,
INE05TO01019,Amir Chand Jagdish Kumar (Exports) Limited,544743,AMIRCHAND,
INE137E01014,Amit Securities Ltd.,531557,,
INE606A01024,Amj Land Holdings Limited,500343,AMJLAND,
INE0QSB01016,Amkay Products Limited,544169,,
INE989J01017,AMPVOLTS LIMITED,535719,,
INE218P01018,Amrapali Capital and Finance Services Limited,536737,,
INE990S01016,Amrapali Fincap Limited,539265,,
INE762C01021,Amrapali Industries Ltd,526241,,
INE735C01027,Amraworld Agrico Ltd.,531991,,
INE098F01031,Amrutanjan Health Care Limited,590006,AMRUTANJAN,
INE345U01019,AMS POLYMERS LIMITED,540066,,
INE0U2L01017,Amwill Health Care Limited,544353,,
INE134R01013,Anand Projects Ltd,501630,,
INE549H01021,Anand Rathi Share and Stock Brokers Limited,544530,ARSSBL,
INE463V01026,Anand Rathi Wealth Limited,543415,ANANDRATHI,
INE02GA01012,Anand Rayons Limited,542721,,
INE242C01024,Anant Raj Limited,515055,ANANTRAJ,
INE666E01020,Andhra Cements Limited,532141,ACL,Andhra Cement Ltd.
INE435A01051,ANDHRA PAPER LIMITED,502330,ANDHRAPAP,
INE714B01016,Andhra Petrochemicals Ltd.,500012,,
INE449C01025,Andrew Yule & Company Ltd,526173,,
INE236W01016,ANG Lifesciences India Limited,540694,,
INE339Z01011,Angel Fibers Limited,541006,,
INE732I01021,Angel One Limited,543235,ANGELONE,
INE087B01017,Anik Industries Limited,519383,ANIKINDS,
INE161F01011,ANIRIT VENTURES LIMITED,530705,,
IN9161F01019,ANIRIT VENTURES LIMITED,890231,,
INE283D01018,Anjani Finance Ltd,531878,,
INE096I01021,Anjani Foods Limited,511153,,
INE071F01012,Anjani Portland Cement Limited,518091,APCL,
INE364D01032,Anjani Synthetics Limited,531223,,
INE067C01025,Anka India Ltd.,531673,,
INE106I01010,Ankit Metal & Power Limited,532870,ANKITMETAL,
INE0Y8W01025,Anlon Healthcare Limited,544497,AHCL,
INE02AR01019,Anmol India Limited,542437,ANMOL,
INE336D01014,Anna Infrastructures Ltd,530799,,
INE075K01013,ANNVRRIDHHI VENTURES LIMITED,538539,,
IN9075K01029,ANNVRRIDHHI VENTURES LIMITED,890229,,
INE234J01018,ANS Limited,531406,,
INE030C01015,Ansal Buildwell Ltd.,523007,,
INE880B01015,ANSAL HOUSING LIMITED,507828,,
INE436A01026,Ansal Properties & Infrastructure Limited,500013,ANSALAPI,
INE414B01021,Antarctica Limited,,ANTGRAPHIC,
INE825M01017,ANTARIKSH INDUSTRIES LIMITED,501270,,
INE818A01017,Antelopus Selan Energy Limited,530075,ANTELOPUS,
INE0CZ201020,Anthem Biosciences Limited,544449,ANTHEM,
INE01BK01022,Antony Waste Handling Cell Limited,543254,AWHCL,
INE489G01022,Anuh Pharma Limited,506260,ANUHPHR,
INE069B01023,ANUPAM FINSERV LIMITED,530109,,
INE930P01018,Anupam Rasayan India Limited,543275,ANURAS,
INE490Z01012,Anuroop Packaging Limited,542865,,
INE372A01015,Apar Industries Limited,532259,APARINDS,
INE116A01032,Apcotex Industries Limited,523694,APCOTEXIND,
INE988S01028,Apeejay Surrendra Park Hotels Limited,544111,PARKHOTELS,
INE758W01019,APEX CAPITAL AND FINANCE LIMITED,541133,,
INE346W01013,Apex Frozen Foods Limited,540692,APEX,
INE070K01014,Apis India Ltd,506166,,
INE702C01027,APL Apollo Tubes Limited,533758,APLAPOLLO,
INE273A01015,Aplab Ltd.,517096,,
IN9273A01047,Aplab Ltd.,890217,,
INE170D01025,APM Industries Ltd.,523537,,
INE412D01013,Apollo Finvest (India) Ltd.,512437,,
INE437A01024,Apollo Hospitals Enterprise Limited,508869,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.
INE314N01028,Apollo Ingredients Limited,503639,,
INE713T01028,Apollo Micro Systems Limited,540879,APOLLO,
INE126J01016,Apollo Pipes Limited,531761,APOLLOPIPE,
INE451F01024,Apollo Sindoori Hotels Limited,,APOLSINHOT,
INE0X4A01013,APOLLO TECHNO INDUSTRIES LIMITED,544671,,
INE438A01022,Apollo Tyres Limited,500877,APOLLOTYRE,
INE217S01014,Apoorva Leasing Finance & Investment Company Limited,539545,,
INE046E01025,Apt Packaging Ltd,506979,,
INE266F01018,Aptech Limited,532475,APTECHT,
INE15XJ01010,Aptus Pharma Limited,544529,,
INE852O01025,Aptus Value Housing Finance India Limited,543335,APTUS,
INE416A01051,Aqylon Nexus Limited,530943,AQYLON,
INE068C01015,Aravali Securities & Finance Ltd.,512344,,
INE202R01026,ARC Finance Limited,540135,,
INE276D01012,Arcee Indusrtries ltd.,520121,,
INE128X01021,Archean Chemical Industries Limited,543657,ACI,
INE0CHO01012,Archidply Decor Limited,543231,ADL,
INE877I01016,Archidply Industries Limited,532994,ARCHIDPLY,
INE731A01020,Archies Limited,532212,ARCHIES,
INE078I01011,Archit Organosys Limited,524640,,
INE372M01010,ARCL Organics Ltd,543993,,
INE955S01019,Arco Leasing Ltd.,511038,,
INE0LKP01014,Ardi Alliances Limited,504370,,
INE480H01011,Arex Industries Ltd.,526851,,
INE784R01023,Arfin India Limited,539151,ARFIN,
INE298I01015,Aries Agro Limited,532935,ARIES,
INE021N01011,ARIGATO UNIVERSE LIMITED,530267,,
INE420B01036,Arihant Capital Markets Limited,511605,ARIHANTCAP,
INE413D01011,Arihant Foundations & Housing Limited,531381,ARIHANT,
INE643K01018,Arihant Superstructures Limited,506194,ARIHANTSUP,
INE190D01015,Arihants Securities ltd.,531017,,
INE0H9P01028,Arisinfra Solutions Limited,544419,ARIS,
INE1D8001016,Aritas Vinyl Limited,544683,,
INE0QRL01017,Arkade Developers Limited,544261,ARKADE,
INE109C01017,Arman Financial Services Limited,531179,ARMANFIN,
INE510P01018,Arman Holdings Limited,538556,,
INE185K01036,Arnold Holdings Ltd,537069,,
INE210C01013,Aro Granite Industries Limited,513729,AROGRANITE,
INE570D01018,Arrow Greentech Limited,516064,ARROWGREEN,
INE0PP401015,Arrowhead Seperation Engineering Limited,544025,,
INE968D01022,Arshiya Limited,506074,ARSHIYA,
INE738V01013,Art Nirman Limited,,ARTNIRMAN,
INE885B01014,Artefact Projects Ltd,531297,,
INE757T01025,Artemis Electricals and Projects Limited,542670,AEPL,
INE025R01021,Artemis Medicare Services Limited,542919,ARTEMISMED,
INE072B01027,Artificial Electronics Intelligent Material Limited,526443,,
INE133D01023,ARTSON LIMITED,522134,,
INE957C01019,Aruna Hotels Ltd.,500016,,
INE485K01022,Arunjyoti Bio Ventures Limited,530881,,
INE006Z01016,Arvee Laboratories (India) Limited,,ARVEE,
INE955V01021,Arvind Fashions Limited,542484,ARVINDFASN,
INE034A01011,Arvind Limited,500101,ARVIND,
INE034S01021,Arvind SmartSpaces Limited,539301,ARVSMART,
INE229R01011,Aryaman Capital Markets Limited,538716,,
INE032E01017,Aryaman Financial Services Ltd.,530245,,
INE016X01010,Aryan Share & Stock Brokers Ltd.,542176,,
INE360S01012,ARYAVAN ENTERPRISE LIMITED,539455,,
INE439A01020,Asahi India Glass Limited,515030,ASAHIINDIA,
INE228I01012,Asahi Songwon Colors Limited,532853,ASAHISONG,
INE0DN001027,ASARFI HOSPITAL LIMITED,543943,,
INE0E4I01027,Ascensive Educare Limited,543443,,
INE767M01029,ASGARD ALCOBEV LIMITED,512025,,
INE348A01023,Ashapura Minechem Limited,527001,ASHAPURMIN,
INE05FR01029,Ashapuri Gold Ornament Limited,542579,,
INE709D01012,Ashiana Agro Industries Ltd,519174,,
INE365D01021,Ashiana Housing Limited,523716,ASHIANA,
INE094B01013,Ashika Credit Capital Limited,543766,ASHIKA,
INE440A01010,Ashima Limited,514286,ASHIMASYN,
INE894A01026,Ashirwad Capital Ltd.,512247,,
INE338C01012,Ashirwad Steels & Industries  Ltd.,526847,,
INE831C01016,Ashish Polyplast Ltd.,530429,,
INE694W01024,Ashnisha Industries Limited,541702,,
INE372I01018,Ashnoor Textiles Mills Ltd.,507872,,
INE208A01029,Ashok Leyland Limited,500477,ASHOKLEY,
INE442H01029,Ashoka Buildcon Limited,533271,ASHOKA,
INE760Y01011,Ashoka Metcast Limited,540923,ASHOKAMET,
INE293C01019,Ashram Online.com Ltd,526187,,
INE723K01018,Ashutosh Paper Mills Ltd.,531568,,
INE443A01030,ASI INDUSTRIES LIMITED,502015,,
INE131Q01011,ASIA CAPITAL LIMITED,538777,,
INE784M01016,Asia Pack Ltd.,530899,,
INE276G01015,Asian Energy Services Limited,530355,ASIANENE,
INE022I01019,Asian Granito India Limited,532888,ASIANTILES,
INE926K01017,Asian Hotels (East) Limited,533227,AHLEAST,
INE363A01022,Asian Hotels (North) Limited,500023,ASIANHOTNR,
INE915K01010,Asian Hotels (West) Limited,533221,AHLWEST,
INE021A01026,Asian Paints Limited,500820,ASIANPAINT,
INE810M01019,Asian Petroproducts & Exports Ltd.,524434,,
INE194D01017,Asian Star Company Limited,531847,ASTAR,Asian Star Co. Ltd.
INE822B01017,Asian Tea & Exports Ltd.,519532,,
INE04Z101016,Asian Warehousing Limited,543927,,
INE041B01014,Asit C Mehta Financial Services Limited,530723,,
INE491J01022,ASK Automotive Limited,544022,ASKAUTOLTD,
INE867C01010,ASM Technologies Ltd.,526433,,
INE991I01015,Aspinwall and Company Limited,,ASPINWALL,
INE500C01017,Aspira Pathlab & Diagnostics Limited,540788,,
INE165G01010,Assam Entrade Limited,542911,,
INE073G01016,Associated Alcohols & Breweries Ltd.,507526,ASALCBR,
INE771E01010,Associated Ceramics Ltd.,531168,,
INE0RIQ01013,Associated Coaters Limited,544183,,
INE0SJX01015,ASSTON PHARMACEUTICALS LIMITED,544445,,
INE307N01014,ASTAL LABORATORIES LIMITED,512600,,
INE563J01010,Astec LifeSciences Limited,533138,ASTEC,
INE914M01019,Aster DM Healthcare Limited,540975,ASTERDM,
INE0TG901011,ASTONEA LABS LIMITED,544409,,
INE386C01029,Astra Microwave Products Limited,532493,ASTRAMICRO,
INE006I01046,Astral Limited,532830,ASTRAL,
INE203A01020,AstraZeneca Pharma India Limited,506820,ASTRAZEN,
INE0RUY01012,Astron Multigrain Limited,544628,,
INE646X01014,Astron Paper & Board Mill Limited,540824,ASTRON,
INE508W01018,Asutosh Enterprise Ltd.,512433,,
INE0ALR01029,Atal Realtech Limited,543911,ATALREAL,
INE09KD01013,Atam Valves Limited,543236,ATAM,
INE0XCV01014,Aten Papers & Foam Limited,544417,,
INE354E01031,Atharv Enterprises Limited,530187,,
INE291R01011,Athena Constructions Limited,539099,,
INE576B01019,Athena Global Technologies Limited,517429,,
INE0LEZ01016,Ather Energy Limited,544397,ATHERENERG,
INE011R01013,Atishay Limited,538713,,
INE0Z4F01028,Atlanta Electricals Limited,544527,ATLANTAELE,
INE285H01022,ATLANTAA LIMITED,532759,ATLANTAA,
INE446A01025,Atlas Cycles (Haryana) Limited,505029,ATLASCYCLE,
INE951D01028,Atul Auto Limited,531795,ATULAUTO,
INE100A01010,Atul Limited,500027,ATUL,
INE447A01015,ATV Projects India Ltd,500028,,
INE219M01021,Atvo Enterprises Limited,532090,,
INE949L01017,AU Small Finance Bank Limited,540611,AUBANK,
INE1KVL01010,AUREATE TRADDE LIMITED,544772,,
INE925Y01036,Auri Grow India Limited,,AURIGROW,
INE132H01018,Aurionpro Solutions Limited,532668,AURIONPRO,
INE292C01011,Auro Laboratories Ltd.,530233,,
INE406A01037,Aurobindo Pharma Limited,524804,AUROPHARMA,
INE898S01029,Aurum PropTech Limited,539289,AURUM,
INE218C01016,Ausom Enterprise Limited,509009,AUSOMENT,
INE104201012,AUSTERE SYSTEMS LIMITED,544505,,
INE759F01012,Austin Engineering Co. Ltd.,522005,,
INE206F01022,Authum Investment & Infrastructure Limited,539177,AIIL,
INE18HI01019,Autofurnish Limited,544767,,
INE718H01014,Autoline Industries Limited,532797,AUTOIND,
INE451C01013,Automobile Corpn. of Goa Ltd.,505036,,
INE0NY101012,Automobile Products of India Ltd.,505032,,
INE449A01011,Automotive Axles Limited,505010,AUTOAXLES,
INE900C01027,Automotive Stampings and Assemblies Limited,520119,ASAL,
INE340U01010,Autoriders International Ltd,512277,,
INE349W01017,Avadh Sugar & Energy Limited,540649,AVADHSUGAR,
INE325G01010,Available Finance Ltd.,531310,,
INE0LCL01028,Avalon Technologies Limited,543896,AVALON,
INE758A01072,Avance Technologies Ltd.,512149,,
INE005B01027,Avantel Limited,532406,AVANTEL,
INE871C01038,Avanti Feeds Limited,512573,AVANTIFEED,
INE0NQ401024,Avax Apparels and Ornaments Limited,544337,,
INE09BN01011,Aveer Foods Limited,543737,,
INE192R01011,Avenue Supermarts Limited,540376,DMART,
INE483S01020,AvenuesAI Limited,539807,CCAVENUE,
INE680Z01018,AVG Logistics Limited,543910,AVG,
